,product_name,qty,location,payment_mode,price,Time
509,"Samsung Galaxy A31 Smart Phone 128 GB, 6 GB RAM, Prism Crush Black",1,509001,UPI,16999.0,year-2021_month-06
510,"Apple iPad 8th Gen 25.90 cm (10.2 inch) Wi-Fi Tablet, 32 GB, Space Grey MYL92HN/A",1,500019,Credit Card,29900.0,year-2021_month-06
511,"HP 14s-DQ2101TU Laptop (11th Gen Intel Core i3-1115G4/8GB/256GB PCIe-SSD/Intel UHD Graphics/Windows 10/MSO/HD), 35.6 cm (14 inch)",1,841414,CREDIT_CARD,34960.16,year-2021_month-06
512,HP Laptop Bag (Medium),1,841414,CREDIT_CARD,1038.84,year-2021_month-06
513,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,500028,Credit Card,24999.0,year-2021_month-06
514,"Lenovo M10 HD 25.65 cm (10.1 inch) Wi-Fi Tablet 2 GB RAM, 32 GB, Black ZA4G0007IN",1,632602,Credit Card,10749.0,year-2021_month-06
515,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,500028,Credit Card,24999.0,year-2021_month-06
516,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, Bluetooth Headset with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, Touch Control & Alexa Voice Control - (Black)",1,394210,Credit Card,24990.0,year-2021_month-06
517,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,500028,EMI,24999.0,year-2021_month-06
518,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, Bluetooth Headset with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, Touch Control & Alexa Voice Control - (Black)",1,394210,Credit Card,24990.0,year-2021_month-06
519,"Sharp PS-920 150W High Power Portable Party Speaker with Bluetooth built-in rechargeable battery, Disco light & Bluetooth",1,380013,CREDIT_CARD,7040.0,year-2021_month-06
520,"Samsung Galaxy A31 Smart Phone 128 GB, 6 GB RAM, Prism Crush Black",1,509001,Credit Card,16999.0,year-2021_month-06
521,Reconnect Steam Iron 2000W RHSIB2001,1,614616,PAYTM_WALLET,699.0,year-2021_month-06
522,"Sony WH-1000XM4 Wireless Noise Cancelling Headphones, Bluetooth Headset with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, Touch Control & Alexa Voice Control - (Black)",1,394210,Credit Card,24990.0,year-2021_month-06
523,Samsung 1 Ton 5 Star AR12TY5QAWK Inverter Split AC,1,690518,Credit Card,28581.63,year-2021_month-06
524,"Redmi Note 10 Pro 128 GB, 6 GB RAM, Glacial Blue, Smartphone",1,335704,Credit Card,17499.0,year-2021_month-06
525,"Samsung Galaxy A31 Smart Phone 128 GB, 6 GB RAM, Prism Crush Black",1,509001,Credit Card,16999.0,year-2021_month-06
526,"Lenovo M10 HD 25.65 cm (10.1 inch) Wi-Fi Tablet 2 GB RAM, 32 GB, Black ZA4G0007IN",1,632602,Credit Card,10749.0,year-2021_month-06
527,"Sony WH-CH510 Wireless Headphones with 35 Hours Battery Life, Bluetooth Ver 5.0, Light Weight, Headset with mic for phone calls with Voice Assitant - (Blue)",1,110010,Credit Card,2990.0,year-2021_month-06
528,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,500028,Credit Card,24999.0,year-2021_month-06
529,"Vivo Y51A 128 GB, 8 GB RAM, Titanium Sapphire, Smartphone",1,517501,Credit Card,17990.0,year-2021_month-06
530,"Reconnect 10000 mAh Power Bank, Navy Blue RAPBB1007",1,517501,Credit Card,999.0,year-2021_month-06
531,"Realme 8 Pro, 128 GB, 6 GB RAM, Infinite Blue, Smartphone",1,500007,CREDIT_CARD,16216.48,year-2021_month-06
532,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,CREDIT_CARD,539.68,year-2021_month-06
533,"Realme Buds Classic Earphones, Black",1,500007,CREDIT_CARD,359.48,year-2021_month-06
534,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,CREDIT_CARD,539.68,year-2021_month-06
535,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,CREDIT_CARD,539.68,year-2021_month-06
536,Reconnect 2000 Watts Induction Cooktop RK2202,1,400058,Credit Card,2199.0,year-2021_month-06
537,"SAREGAMA Carvaan 2.0 with Wi-Fi Bluetooth Multimedia Speaker, Emerald Green",1,414106,UPI,7740.0,year-2021_month-06
538,"Sharp PS-920 150W High Power Portable Party Speaker with Bluetooth built-in rechargeable battery, Disco light & Bluetooth",1,380013,Credit Card,7040.0,year-2021_month-06
539,"OnePlus Nord CE 5G 128 GB, 8 GB RAM, Charcoal Ink, Smartphone",1,821115,Credit Card,24999.0,year-2021_month-06
540,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
541,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
542,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
543,"Samsung Galaxy M Series M02 32 GB, 2 GB RAM, Gray, Smartphone",1,400054,PAYTM_WALLET,7249.0,year-2021_month-06
544, Sony PlayStation 5 Console,1,400004,Credit Card,49990.0,year-2021_month-06
545,"Lenovo Tab M10 FHD Plus 26.16 cm (10.3 inch) Tablet 4 GB, 128 GB, Platinum Grey, ZA6R0004IN",1,504208,Credit Card,18499.0,year-2021_month-06
546,"Vivo Y20G 128 GB, 6 GB RAM, Purist Blue, Smartphone",1,110022,Credit Card,14740.0,year-2021_month-06
547,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
548,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
549,Realme Buds 2 Earphone with Mic for Android Smartphones (Black),1,500007,Credit Card,539.68,year-2021_month-06
550,"Sony WH-CH510 Wireless Headphones with 35 Hours Battery Life, Bluetooth Ver 5.0, Light Weight, Headset with mic for phone calls with Voice Assitant - (Blue)",1,110010,Credit Card,2990.0,year-2021_month-06
551,"Realme 8 Pro, 128 GB, 6 GB RAM, Infinite Blue, Smartphone",1,500007,Credit Card,16216.48,year-2021_month-06
552,"Vivo Y51A 128 GB, 8 GB RAM, Titanium Sapphire, Smartphone",1,517501,Credit Card,17990.0,year-2021_month-06
553,"Reconnect 10000 mAh Power Bank, Navy Blue RAPBB1007",1,517501,Credit Card,999.0,year-2021_month-06
554,"Samsung Galaxy Tab S6 Lite (LTE) 26.31 cm (10.4 inch) Tablet 4 GB RAM, 64 GB, Blue, SM-P615NZBAINU",1,243006,Credit Card,31999.0,year-2021_month-06
555,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Black, Smartphone",1,500007,CREDIT_CARD,13999.0,year-2021_month-06
556,"Realme 8 5G 128 GB, 4 GB RAM, Supersonic Blue, Smartphone",1,500007,CREDIT_CARD,13999.0,year-2021_month-06
557,"Realme Buds Classic Earphones, Black",1,500007,Credit Card,359.48,year-2021_month-06
558,"Sony WH-CH510 Wireless Headphones with 35 Hours Battery Life, Bluetooth Ver 5.0, Light Weight, Headset with mic for phone calls with Voice Assitant - (Blue)",1,110010,Credit Card,2990.0,year-2021_month-06
559,"Lenovo Tab M10 FHD Plus 26.16 cm (10.3 inch) Tablet 4 GB, 128 GB, Platinum Grey, ZA6R0004IN",1,504208,Credit Card,18499.0,year-2021_month-06
560,"Bose S1 Pro Wireless Bluetooth Speaker with Mic, Black",1,411025,CREDIT_CARD,60625.0,year-2021_month-06
561,Sony PlayStation 5 Console,1,600117,CREDIT_CARD,49990.0,year-2021_month-06
562,"OnePlus Bullets Wireless Headphone, Reverb Red (Sweat and Water Resistant)",1,517501,UPI,1999.0,year-2021_month-06
563,Apple Watch Series 6 GPS - 44 mm Blue Aluminium Case with Deep Navy Sport Band,1,122018,EMI,42400.0,year-2021_month-06
564,Belkin F3Y020BF2M HDMI-HDMI Cable,1,636455,NETS,699.0,year-2021_month-06
565,"Apple iPhone 11 128 GB, Black (without Earpods and Adapter)",1,144040,Credit Card,56600.0,year-2021_month-06
566,"Samsung TabA8 20.31 cm (8.0 inch) 2GB, 32GB, LTE (Black), SM-T295NZKDINS",1,400004,Credit Card,10749.0,year-2021_month-06
567,"Redmi Note 10 64 GB, 4 GB RAM, Frost White, Smartphone",1,302003,Credit Card,12499.0,year-2021_month-06
568,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.33,year-2021_month-06
569,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.33,year-2021_month-06
570,"AZE 9 Kg Top Loading Semi-Automatic Washing Machine with Active Soak Function, 90SW01",1,  GSTI,CREDIT_CARD,7823.34,year-2021_month-06
571,Belkin F3Y020BF2M HDMI-HDMI Cable,1,636455,Credit Card,699.0,year-2021_month-06
572,"Itel A25 Pro 32 GB, 2 GB RAM, Gradation Blue, Smartphone",1,678001,Credit Card,4599.0,year-2021_month-06
